study_name	variable_name	variable_label	folder	description	visit	calculation	type	total_subjects	units	n	mean	stddev	median	min	max	unknown
ABC	ess_total	Epworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Epworth Sleepiness Scale: Total score	Baseline	ess_total=ess_1sitread+ess_2watchingtv+ess_3sitinactive+ess_4passenger+ess_5lyingdown+ess_6sittalk+ess_7afterlunch+ess_8stoppedcar	integer			49	10.1	4.5	9	3	22	-
ABC	ess_total	Epworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Epworth Sleepiness Scale: Total score	9-Month Followup	ess_total=ess_1sitread+ess_2watchingtv+ess_3sitinactive+ess_4passenger+ess_5lyingdown+ess_6sittalk+ess_7afterlunch+ess_8stoppedcar	integer			43	7.7	4.6	6	0	19	-
ABC	ess_total	Epworth Sleepiness Scale: Total score	Sleep Questionnaires/Hypersomnia/Epworth Sleepiness Scale (ESS)	Epworth Sleepiness Scale: Total score	18-Month Followup	ess_total=ess_1sitread+ess_2watchingtv+ess_3sitinactive+ess_4passenger+ess_5lyingdown+ess_6sittalk+ess_7afterlunch+ess_8stoppedcar	integer			40	7.3	4.2	6	2	20	-
APOE	ess	Epworth Sleepiness Scale total score	Sleep Questionnaires/Hypersomnia	Epworth Sleepiness Scale total score	Study Visit		integer			681	10	5.1	10	0	24	31
BESTAIR	age	Age at visit	Demographics	Age at visit	Baseline Visit		integer		years	169	64.3	7.4	66	46	76	-
BESTAIR	age	Age at visit	Demographics	Age at visit	Month-6 Follow-up Visit		integer		years	169	64.7	7.4	66	46	77	-
BESTAIR	age	Age at visit	Demographics	Age at visit	Month-12 Follow-up Visit		integer		years	108	65.1	7.3	66	47	77	-
BESTAIR	phq8_total	Patient Health Questionnaire 8: Total Score	General Health/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire 8: Total Score	Baseline Visit		integer			160	5.3	4.9	4	0	24	9
BESTAIR	phq8_total	Patient Health Questionnaire 8: Total Score	General Health/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire 8: Total Score	Month-6 Follow-up Visit		integer			138	4.2	4.1	3	0	18	31
BESTAIR	phq8_total	Patient Health Questionnaire 8: Total Score	General Health/Patient Health Questionnaire (PHQ-8)	Patient Health Questionnaire 8: Total Score	Month-12 Follow-up Visit		integer			77	4.1	4	2	0	17	31
BESTAIR	ess_total	Total score of Epworth Sleepiness Scale (ESS)	Sleep Questionnaires/Hypersomnia	Total score of Epworth Sleepiness Scale (ESS)	Baseline Visit		integer			164	8.3	4.5	8	0	24	5
BESTAIR	ess_total	Total score of Epworth Sleepiness Scale (ESS)	Sleep Questionnaires/Hypersomnia	Total score of Epworth Sleepiness Scale (ESS)	Month-6 Follow-up Visit		integer			136	6.9	4	6	0	18	33
BESTAIR	ess_total	Total score of Epworth Sleepiness Scale (ESS)	Sleep Questionnaires/Hypersomnia	Total score of Epworth Sleepiness Scale (ESS)	Month-12 Follow-up Visit		integer			76	6.9	4.1	6	0	18	32
BESTAIR	prom_sdscale	PROMIS Sleep Disturbance: Total Score	Sleep Questionnaires/Sleep Disturbance/PROMIS Sleep Disturbance	PROMIS Sleep Disturbance: Total Score	Baseline Visit		integer			164	21.9	6.8	22	7	38	5
BESTAIR	prom_sdscale	PROMIS Sleep Disturbance: Total Score	Sleep Questionnaires/Sleep Disturbance/PROMIS Sleep Disturbance	PROMIS Sleep Disturbance: Total Score	Month-6 Follow-up Visit		integer			136	17.8	6.9	16	6	38	33
BESTAIR	prom_sdscale	PROMIS Sleep Disturbance: Total Score	Sleep Questionnaires/Sleep Disturbance/PROMIS Sleep Disturbance	PROMIS Sleep Disturbance: Total Score	Month-12 Follow-up Visit		integer			77	17	6.9	16	6	33	31
BESTAIR	prom_sriscale	PROMIS Sleep-Related Impairment: Total Score	Sleep Questionnaires/Sleep Disturbance/PROMIS Sleep Related Impairment	PROMIS Sleep-Related Impairment: Total Score	Baseline Visit		integer			163	17.3	6.3	16	8	38	6
BESTAIR	prom_sriscale	PROMIS Sleep-Related Impairment: Total Score	Sleep Questionnaires/Sleep Disturbance/PROMIS Sleep Related Impairment	PROMIS Sleep-Related Impairment: Total Score	Month-6 Follow-up Visit		integer			137	14.7	5.8	13	8	34	32
BESTAIR	prom_sriscale	PROMIS Sleep-Related Impairment: Total Score	Sleep Questionnaires/Sleep Disturbance/PROMIS Sleep Related Impairment	PROMIS Sleep-Related Impairment: Total Score	Month-12 Follow-up Visit		integer			78	14.5	5.7	13	8	33	30
BESTAIR	whiirs_total	Total score of the Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Sleep Questionnaires/Sleep Disturbance/Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Total score of the Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Baseline Visit		integer			161	9.7	4.6	10	1	20	8
BESTAIR	whiirs_total	Total score of the Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Sleep Questionnaires/Sleep Disturbance/Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Total score of the Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Month-6 Follow-up Visit		integer			134	7.3	4.3	7	0	19	35
BESTAIR	whiirs_total	Total score of the Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Sleep Questionnaires/Sleep Disturbance/Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Total score of the Women's Health Initiative Insomnia Rating Scale (WHIIRS)	Month-12 Follow-up Visit		integer			74	6.8	4.2	6	0	19	34
BESTAIR	nreadings	Number of readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of readings	Baseline Visit		integer			166	78	14.6	78	1	112	3
BESTAIR	nreadings	Number of readings	Clinical Data/Vital Signs/Ambulatory Blood Pressure	Number of readings	Month-6 Follow-up Visit		integer			131	76.9	14.7	77	8	122	38
