study_name	variable_name	type	category
ABC	rand_treatmentarm	choices	categorical
ABC	visitnumber	choices	categorical
ABC	ethnicity	choices	categorical
ABC	gender	choices	categorical
ABC	race	choices	categorical
ABC	nsrr_ethnicity	choices	categorical
ABC	nsrr_race	choices	categorical
ABC	nsrr_sex	choices	categorical
ABC	surgery_occurred	choices	categorical
ABC	leptin_ceiling	choices	categorical
ABC	pai1_ceiling	choices	categorical
ANSWERS	nsrr_ethnicity	choices	categorical
ANSWERS	nsrr_race	choices	categorical
ANSWERS	nsrr_sex	choices	categorical
ANSWERS	nsrr_current_smoker	choices	categorical
ANSWERS	nsrr_ever_smoker	choices	categorical
ANSWERS	visit	choices	categorical
ANSWERS	handedness	choices	categorical
ANSWERS	ethnicity	choices	categorical
ANSWERS	orientation	choices	categorical
ANSWERS	race	choices	categorical
ANSWERS	sex	choices	categorical
ANSWERS	transgender	choices	categorical
ANSWERS	education	choices	categorical
ANSWERS	income	choices	categorical
ANSWERS	cesd_1	choices	categorical
ANSWERS	cesd_10	choices	categorical
ANSWERS	cesd_11	choices	categorical
ANSWERS	cesd_12	choices	categorical
ANSWERS	cesd_13	choices	categorical
ANSWERS	cesd_14	choices	categorical
ANSWERS	cesd_15	choices	categorical
ANSWERS	cesd_16	choices	categorical
ANSWERS	cesd_17	choices	categorical
ANSWERS	cesd_18	choices	categorical
ANSWERS	cesd_19	choices	categorical
ANSWERS	cesd_2	choices	categorical
ANSWERS	cesd_20	choices	categorical
ANSWERS	cesd_3	choices	categorical
ANSWERS	cesd_4	choices	categorical
ANSWERS	cesd_5	choices	categorical
ANSWERS	cesd_6	choices	categorical
ANSWERS	cesd_7	choices	categorical
ANSWERS	cesd_8	choices	categorical
ANSWERS	cesd_9	choices	categorical
ANSWERS	cssrs_3mo_1	choices	categorical
ANSWERS	cssrs_3mo_2	choices	categorical
ANSWERS	cssrs_3mo_3	choices	categorical
ANSWERS	cssrs_3mo_4	choices	categorical
ANSWERS	cssrs_3mo_5	choices	categorical
ANSWERS	cssrs_3mo_6	choices	categorical
ANSWERS	cssrs_3mo_7	choices	categorical
ANSWERS	cssrs_3mo_8	choices	categorical
ANSWERS	nssi_3mo	choices	categorical
ANSWERS	sa_3mo	choices	categorical
ANSWERS	si_3mo_yn	choices	categorical
ANSWERS	sp_3mo	choices	categorical
ANSWERS	gad_1	choices	categorical
ANSWERS	gad_2	choices	categorical
ANSWERS	gad_3	choices	categorical
ANSWERS	gad_4	choices	categorical
ANSWERS	gad_5	choices	categorical
ANSWERS	gad_6	choices	categorical
ANSWERS	gad_7	choices	categorical
ANSWERS	inq_1	choices	categorical
ANSWERS	inq_10	choices	categorical
ANSWERS	inq_11	choices	categorical
ANSWERS	inq_12	choices	categorical
ANSWERS	inq_14	choices	categorical
ANSWERS	inq_15	choices	categorical
ANSWERS	inq_2	choices	categorical
ANSWERS	inq_3	choices	categorical
ANSWERS	inq_4	choices	categorical
ANSWERS	inq_5	choices	categorical
ANSWERS	inq_6	choices	categorical
ANSWERS	inq_7	choices	categorical
ANSWERS	inq_8	choices	categorical
ANSWERS	inq_9	choices	categorical
ANSWERS	upps_1	choices	categorical
ANSWERS	upps_10	choices	categorical
ANSWERS	upps_11	choices	categorical
ANSWERS	upps_12	choices	categorical
ANSWERS	upps_13	choices	categorical
ANSWERS	upps_14	choices	categorical
ANSWERS	upps_15	choices	categorical
ANSWERS	upps_16	choices	categorical
ANSWERS	upps_17	choices	categorical
ANSWERS	upps_18	choices	categorical
APOE	nsrr_sex	choices	categorical
APOE	visit	choices	categorical
APOE	ace_genotype	choices	categorical
APOE	apoe_genotype	choices	categorical
APOE	dq0602_genotype	choices	categorical
APOE	dx_1st	choices	categorical
APOE	rls_phenotype	choices	categorical
APOE	rls_probability	choices	categorical
APOE	gender	choices	categorical
APOE	asthma	choices	categorical
APOE	depression	choices	categorical
APOE	diabetes	choices	categorical
APOE	gerd	choices	categorical
APOE	high_cholesterol	choices	categorical
APOE	htn	choices	categorical
APOE	thyroid	choices	categorical
APOE	rls_disturbed_sleep	choices	categorical
APOE	rls_sleep_onset	choices	categorical
APPLES	nsrr_race	choices	categorical
APPLES	nsrr_sex	choices	categorical
APPLES	nsrr_current_smoker	choices	categorical
APPLES	nsrr_ever_smoker	choices	categorical
APPLES	excludecategory	choices	categorical
APPLES	offtreatmentorstudy	choices	categorical
APPLES	randomized	choices	categorical
APPLES	site	choices	categorical
APPLES	txgroup	choices	categorical
APPLES	visit	choices	categorical
APPLES	visitn	choices	categorical
APPLES	analysisgroup	choices	categorical
APPLES	hand	choices	categorical
BESTAIR	final_visit	choices	categorical
BESTAIR	pooled_treatmentarm	choices	categorical
BESTAIR	rand_manufacturer	choices	categorical
BESTAIR	rand_treatmentarm	choices	categorical
BESTAIR	visitnumber	choices	categorical
BESTAIR	ethnicity	choices	categorical
BESTAIR	gender	choices	categorical
BESTAIR	race	choices	categorical
BESTAIR	nsrr_ethnicity	choices	categorical
BESTAIR	nsrr_race	choices	categorical
BESTAIR	nsrr_sex	choices	categorical
BESTAIR	shq_diabetes	choices	categorical
BESTAIR	shq_diabetesmed	choices	categorical
BESTAIR	shq_highbp	choices	categorical
BESTAIR	shq_highcholes	choices	categorical
BESTAIR	shq_highbpmed	choices	categorical
BESTAIR	iasep	choices	categorical
