study_name	variable_name	variable_label	folder	description	visit	calculation	type	total_subjects	units	n	mean	stddev	median	min	max	unknown
ABC	active_ghrelin	Active Ghrelin	Clinical Data/Laboratory Tests		18-Month Followup		numeric		pg/mL	38	204.3	134.9	168	53	737	2
ABC	active_ghrelin	Active Ghrelin	Clinical Data/Laboratory Tests		9-Month Followup		numeric		pg/mL	41	248.3	212.7	188	27	928	2
ABC	active_ghrelin	Active Ghrelin	Clinical Data/Laboratory Tests		Baseline		numeric		pg/mL	48	270.8	224.1	197.5	33	1249	1
ABC	adiponectin_hmw	Adiponectin - HMW	Clinical Data/Laboratory Tests		18-Month Followup		numeric		ug/mL	39	2.6	2.3	1.9	0.3	10.7	1
ABC	adiponectin_hmw	Adiponectin - HMW	Clinical Data/Laboratory Tests		9-Month Followup		numeric		ug/mL	43	2.5	2.2	1.8	0.2	10.7	-
ABC	adiponectin_hmw	Adiponectin - HMW	Clinical Data/Laboratory Tests		Baseline		numeric		ug/mL	49	1.9	1.8	1.6	0.1	9.4	-
ABC	adiponectin_total	Adiponectin - Total	Clinical Data/Laboratory Tests		18-Month Followup		numeric		ug/mL	39	4.9	3	4.3	1.2	14.4	1
ABC	adiponectin_total	Adiponectin - Total	Clinical Data/Laboratory Tests		9-Month Followup		numeric		ug/mL	43	4.7	3	4.1	1.2	15.6	-
ABC	adiponectin_total	Adiponectin - Total	Clinical Data/Laboratory Tests		Baseline		numeric		ug/mL	49	4	2.4	3.3	1	13.2	-
ABC	age	Age of the participant	Demographics		18-Month Followup		numeric		years	40	50.9	9.2	52.5	29	65	-
ABC	age	Age of the participant	Demographics		9-Month Followup		numeric		years	43	50.6	9.2	52	28	65	-
ABC	age	Age of the participant	Demographics		Baseline		numeric		years	49	48.8	9.9	50	27	65	-
